Format Version,1.23,Take Name,601_no1,Take Notes,,Capture Frame Rate,100,Export Frame Rate,100,Capture Start Time,2023-04-13 07.39.33.825 午征ECapture Start Frame,835242,Total Frames in Take,73413,Total Exported Frames,72923,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global
, ,,,,,,,,,,,,,,,,,,,,,
,Type,Marker,Marker,Marker,,,,,,,,,,,,,,,,,,
,Name,Unlabeled 2255,Unlabeled 2255,Unlabeled 2255,,,,,,,,,,,,,,,,,,
,ID,1E2D05B9E45472311EE,1E2D05B9E45472311EE,1E2D05B9E45472311EE,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,,,,,,,,,,,,,,,,,,
761,7.61,3.312304,1.499294,2.278284,,,,,,,,,,,,,,,,,,
762,7.62,3.316764,1.495359,2.249577,,,,,,,,,,,,,,,,,,
763,7.63,3.320856,1.49168,2.220632,,,,,,,,,,,,,,,,,,
764,7.64,3.32458,1.488265,2.191469,,,,,,,,,,,,,,,,,,
765,7.65,3.32794,1.485121,2.16211,,,,,,,,,,,,,,,,,,
766,7.66,3.330936,1.482256,2.132575,,,,,,,,,,,,,,,,,,
767,7.67,3.33357,1.479677,2.102886,,,,,,,,,,,,,,,,,,
768,7.68,3.33584,1.477392,2.073064,,,,,,,,,,,,,,,,,,
769,7.69,3.337748,1.475409,2.04313,,,,,,,,,,,,,,,,,,
770,7.7,3.339292,1.473735,2.013108,,,,,,,,,,,,,,,,,,
771,7.71,3.340471,1.472377,1.983017,,,,,,,,,,,,,,,,,,
772,7.72,3.341283,1.471342,1.952881,,,,,,,,,,,,,,,,,,
773,7.73,3.341725,1.470637,1.922721,,,,,,,,,,,,,,,,,,
774,7.74,3.341794,1.470266,1.892558,,,,,,,,,,,,,,,,,,
775,7.75,3.341486,1.470235,1.862414,,,,,,,,,,,,,,,,,,
776,7.76,3.340798,1.470547,1.832311,,,,,,,,,,,,,,,,,,
777,7.77,3.339726,1.471205,1.80227,,,,,,,,,,,,,,,,,,
778,7.78,3.338266,1.47221,1.772311,,,,,,,,,,,,,,,,,,
779,7.79,3.336413,1.473564,1.742455,,,,,,,,,,,,,,,,,,
780,7.8,3.334165,1.475264,1.712722,,,,,,,,,,,,,,,,,,
781,7.81,3.331517,1.477309,1.683132,,,,,,,,,,,,,,,,,,
782,7.82,3.328465,1.479694,1.653704,,,,,,,,,,,,,,,,,,
783,7.83,3.325008,1.482416,1.624458,,,,,,,,,,,,,,,,,,
784,7.84,3.321141,1.485466,1.595413,,,,,,,,,,,,,,,,,,
785,7.85,3.316861,1.488839,1.566586,,,,,,,,,,,,,,,,,,
786,7.86,3.312167,1.492524,1.537997,,,,,,,,,,,,,,,,,,
787,7.87,3.307055,1.496512,1.509662,,,,,,,,,,,,,,,,,,
788,7.88,3.301524,1.500792,1.481601,,,,,,,,,,,,,,,,,,
789,7.89,3.29557,1.505352,1.45383,,,,,,,,,,,,,,,,,,
790,7.9,3.289193,1.51018,1.426366,,,,,,,,,,,,,,,,,,
791,7.91,3.282391,1.515264,1.399226,,,,,,,,,,,,,,,,,,
792,7.92,3.275161,1.520588,1.372426,,,,,,,,,,,,,,,,,,
793,7.93,3.267503,1.526141,1.345983,,,,,,,,,,,,,,,,,,
794,7.94,3.259414,1.531908,1.319912,,,,,,,,,,,,,,,,,,
795,7.95,3.250894,1.537874,1.294228,,,,,,,,,,,,,,,,,,
796,7.96,3.241942,1.544026,1.268946,,,,,,,,,,,,,,,,,,
797,7.97,3.232558,1.550349,1.244079,,,,,,,,,,,,,,,,,,
798,7.98,3.222742,1.556828,1.21964,,,,,,,,,,,,,,,,,,
